Topic,"Title (for model laws include the word ""Model"" in title)",Short Title (only for Exemplary),Year (if unknown for Model look at effective date - use same year if July/prior year if January),Source,Source Website,State (multiple states separated by a comma) ,"Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)",Web Folder Link to PDF,Web Folder Path to PDF,Web Folder Link to Word Doc,Summary,Bill Number,Web Folder Link to Bill PDF,Legislative History,Alternative Terms,(Internal Notes)
Complete Streets,2007 Illinois Public Act 095-0665,,2007,Illinois Legislature,http://www.ilga.gov/,Illinois,Exemplary ,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Complete_Streets/2007_Illinois_Public_Act_095-0665.pdf,,,"Amends the Illinois Highway Code. Provides that bicycle and pedestrian ways shall be given full consideration in the planning and development of transportation facilities, including the incorporation of such ways into State-funded transportation plans and programs. Provides that bicycle and pedestrian ways shall be established in conjunction with the construction, reconstruction, or other change of any State transportation facility, and special emphasis shall be given to projects in or within one mile of an urban area. Provides for exceptions. Requires the Department of Transportation to establish design and construction standards for bicycle and pedestrian ways.",2007 Illinois Senate Bill 314,http://www.ilga.gov/legislation/95/SB/PDF/09500SB0314.pdf,http://www.ilga.gov/legislation/billstatus.asp?DocNum=0314&GAID=9&GA=95&DocTypeID=SB&LegID=27915&SessionID=51&SpecSess=#actions,"Public Transportation, Bike Policy, Urban Planning",
Environmental Protections in Schools,2007 Connecticut Public Act Number 07-168,,2007,Connecticut Legislature ,http://www.cga.ct.gov/,Connecticut ,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Environmental_Protections_in_Schools/2007_Connecticut_Public_Act_Number_07_168.pdf,,,Prohibits the application of lawn care pesticides on the grounds of any public or private school with students in grade eight or lower,2007 Connecticut House Bill 5234,,http://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=5234&which_year=2007&SUBMIT1.x=0&SUBMIT1.y=0&SUBMIT1=Normal,,
Green Building Requirements,Green Buildings Model Act ,,2007,Center for Policy Alternatives,,,Model ,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Green_Building_Requirements_and_Updated_Building_Codes/Green_Building_Model_Act.pdf,,,"Adopts LEED standards for the construction or renovation of  public buildings over 5,000 square feet in size.",,,,,
Residential Energy Efficiency Standards,Green Housing Model Act ,,2007,Center for Policy Alternatives,,,Model ,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Residential_Energy_Efficiency_Standards/Green_Housing_Model_Act.pdf,,,This law is enacted to protect the health and welfare of residents by lowering energy costs and reducing air pollution.,,,,,
Utility Rate Decoupling,2007 Connecticut Public Act No. 07-242,,2007,Connecticut Legislature ,http://www.cga.ct.gov/,Connecticut ,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Utility_Rate_Decoupling/2007_Connecticut_Public_Act_No_07_242.pdf,,,"This act makes many substantive changes to the state's energy laws. Among other things, it restores funding for the electric conservation and clean energy funds and establishes new energy efficiency programs and tax incentives for energy efficiency and renewable energy. There are separate efficiency measures for electricity, heating fuels, and vehicles.",2007 Connecticut House Bill 7432,,http://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=7432&which_year=2007&SUBMIT1.x=12&SUBMIT1.y=14&SUBMIT1=Normal,,
Civil Unions,Civil Union Equality Model Act,,2007,Center for Policy Alternatives,,,Model,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Civil_Rights/Civil_Unions/Civil_Union_Equality_Model_Act.pdf,http://www.BrandeisProject.org/Alice/Web_Folder/Civil_Rights/Civil_Unions/Civil_Union_Equality_Model_Act.pdf,http://www.BrandeisProject.org/Alice/Web_Folder/Civil_Rights/Civil_Unions/Civil_Union_Equality_Model_Act.docx,"The act allows same-sex couples to enter into civil unions, giving 
them many of the benefits of marriage.",,,,,
Domestic Partnership,Domestic Partnership Model Act,,2007,Center for Policy Alternatives,,,Model,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Civil_Rights/Domestic_Partnerships/Domestic_Partnership_Model_Act.pdf,http://www.BrandeisProject.org/Alice/Web_Folder/Civil_Rights/Domestic_Partnerships/Domestic_Partnership_Model_Act.pdf,http://www.BrandeisProject.org/Alice/Web_Folder/Civil_Rights/Domestic_Partnerships/Domestic_Partnership_Model_Act.docx,The act allows unmarried couples certain specified rights enjoyed by married couples.Domestic Partnership is a legal relationship that is formed between two individuals who are not married and intend to live together as spouses.,,,,,This model was separated out from the CPA Civil Union Equality Model Act
LGBTQ Anti-Discrimination,2007 Iowa Senate File 427,,2007,Iowa Legislature,https://www.legis.iowa.gov/index.aspx,Iowa,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Civil_Rights/LGBTQ_Anti-Discrimination/2007_Iowa_Senate_File_427.pdf,http://www.BrandeisProject.org/Alice/Web_Folder/Civil_Rights/LGBTQ_Anti-Discrimination/2007_Iowa_Senate_File_427.pdf,,"The act prohibits discrimination by employers, landlords, other entities and services, by adding the categories of Sexual Orientation and Gender Identity to the state's civil rights laws. ",,,,,
After-School Programs,2007 Minnesota House Bill 976,,2007,Minnesota Legislature,http://www.leg.state.mn.us/,Minnesota,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Education/After-School_Programs/2007_Minnesota_House_File_976.pdf,,,"After-school community learning grant program established, and money appropriated.",,,https://www.revisor.leg.state.mn.us/revisor/pages/search_status/status_detail.php?b=House&f=HF0976&ssn=0&y=2007,"After School Programs, School Tutoring",
Best Value Contracting,2007 Madison Legislative File Number 5139,,2007,Madison City Council,http://www.cityofmadison.com/council/,Wisconsin,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Best_Value_Contracting/2007_Madison_Legislative_File_Number_5139.pdf,,,An ordinance adopting procedures known as best value contracting for public construction contracts and projects accepting TIF financing. ,,,http://madison.legistar.com/ViewReport.ashx?M=R&N=Master&GID=205&ID=1058438&GUID=E4F7935D-CA88-4DCF-BDE5-DC6287763CC8&Title=Legislation+Details,"Best Value Contracting, TIF, Government Contracting",
Local Purchasing Preferences,2007 Madison Legislative File Number 05943,Local Preference Purchasing Policy,2007,Madison City Council,http://www.cityofmadison.com/council/,Wisconsin,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Local_Purchasing_Preferences/2007_Madison_Legislative_File_Number_05943.pdf,,,"this local preference
 purchasing policy will establish new administrative responsibilities 
for staff in the many operating departments who participate in the daily purchasing activities
 of City government.  A city agency would be responsible for developing an on-line 
system for vendors to identify themselves as ""local""
 and to maintain a list of these vendors on the City's web site for use 
by City staff and the public.  Central Purchasing would be responsible 
for modifying current bid and RFP document formats to incorporate local preference criteria into the standard vendor selection processes for purchases
 over $25,000.  Staff in all City agencies that make purchasing 
decisions over $5,000 would be responsible for incorporating the same 
criteria into their competitive selection processes when making vendor 
selections.  Based on the proposed policy structure and the 4-month 
implementation timeline, it is likely that the necessary implementation 
work can be accomplished with available staff resources.
 The policy also creates a 1% price preference or a 5% scoring preference for local vendors responding to non-public works bids, requests for quotations and requests for proposals. ",,,http://madison.legistar.com/ViewReport.ashx?M=R&N=Master&GID=205&ID=1059137&GUID=1AA02B33-D08C-441E-8217-78B828B98555&Title=Legislation+Details,"Small Business, Local Procurement, Local Business, Government Procurement, Government Contracting,",
PerformanceStat,2007 Maryland Chapter 7,StateStat,2007,Maryland Legislature,http://mlis.state.md.us/,Maryland ,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/PerformanceStat/2007_Maryland_Chapter_7.pdf,,,An act creating a StateStat accountability process to enhance themanaging for results process; authorizing the Governor to require certainagencies to participate in the StateStat process; requiring certain agencies to submit certain strategic plans and performance measurement reports to theSecretary of Budget and Management as part of a certainbudget submission; requiring the performance measurement reports to contain certain information.,2007 Maryland House Bill 137,http://mlis.state.md.us/2007RS/bills/hb/hb0137f.pdf,http://mlis.state.md.us/2007rs/billfile/hb0137.htm,"StateStat, PerformanceStat, Performance Measurement, CompStat, CitiStat, ",
Corporate Tax Disclosure Requirements,2007 Model State Corporate Income Tax Disclosure Act,,2007,Center on Budget and Policy Priorities,http://www.cbpp.org/,,Model,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Corporate_Tax_Disclosure_Requirements/2007_Model_State_Corporate_Income_Tax_Disclosure_Act.pdf,,,"A model act and report on increasing transparency in corporate income tax payments to the state, and improving the use of economic subsidies provided to corporations, as well as a provision for subsidy ""clawbacks"" when funds are not being used by the recipient corporation as agreed. ",,,,,
Expanded Paid Family Leave,2007 Washington Chapter 357,,2007,Washington State House,http://www.leg.wa.gov/house/Pages/default.aspx,Washington,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Expanded_Paid_Family_Leave/2007_Washington_Chapter_357.pdf,,,"In 2007, the Washington State Legislature established the Family Leave Insurance program to provide temporary income support to working parents who are on leave to care for a newborn baby or for a child newly placed for adoption.
The program, administered by the Employment Security Department, was designed to provide up to $250 per week for up to five weeks to each eligible parent beginning in the fall of 2009. However, due to the budget challenges in state government, the Legislature approved legislation in 2011 that postpones the start of the program until October 1, 2015.

",2007 Washington House Bill 1658,,,"Paid Leave, FMLA, Family Medical Leave Act,",
Industry Specific Wage Standards,2007 Los Angeles Ordinance 178432,Airport Hospitality Enhancement Zone Ordinance,2007,Los Angeles City Council,http://www.lacity.org/YourGovernment/CityCouncil/index.htm,California,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Industry_Specific_Wage_Standards/2007_Los_Angeles_Ordinance_178432.pdf,,,"Requires that hotels within specified zone pay employees a living wage of $9.39 with health benefits or $10.64 without health benefits, increasing annually with inflation. ",2007 Los Angeles File Number 06-0362-S3,,,"Prevailing Wage, Minimum Wage, Wage Index, Workforce Development,",
Prohibition on Mandatory Workplace Meetings,2007 Worker Freedom Model Act,Worker Freedom Act,2007,Center for Policy Alternatives,,,Model,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Prohibition_on_Mandatory_Workplace_Meetings/2007_Worker_Freedom_Model_Act.pdf,,,"Prohibits employers from requiring workers to attend meetings where the employer lectures on religious or political beliefs, including beliefs about joining a union.",,,,,
State Neutrality in Labor Organizing,2007 State Neutrality in Labor Organizing Model Act,State Neutrality in Labor Organizing Act,2007,Center for Policy Alternatives,,,Model,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/State_Neutrality_in_Labor_Organizing/2007_State_Neutrality_in_Labor_Organizing_Model_Act.pdf,,X:/COWS Program/ALICE/Web_Folder/Labor_Rights_and_Protections/State_Neutrality_in_Labor_Organizing_2007_State_Neutrality_in_Labor_Organizing_Model_Act.doc,Prohibits state contractors from using state funds on activities that deter labor organizing among their employees.,,,,,
